['02752', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02683', '196', '270', '196', '196', '196', '50', 'O']
['02753', '345', '477', '680', '348', 'Oz', 'Oz', 'Oz']
['02690', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02754', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02691', '696', '694', 'O', '644', '679', 'O', 'O']
['02755', '786', '770', '694', 'O', 'I-DK', 'O', 'O']
['02696', '99', '106', '104', '103', '103', 'O', 'O']
['02756', '175', '73', '178', '80', '81', 'O', 'Oz']
['02697', '393', '381', '391', '370', 'O', 'O', 'O']
['02757', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['02698', '104', '104', '265', '101', '105', 'O', 'O']
['02758', '42', '94', '143', 'O', '71', '90', 'O']
['02701', '51', '175', 'O', 'O', 'O', '141', '138']
['02761', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['02703', '43', '187', '101', 'O', 'Oz', '96', '77']
['02762', '187', '42', '94', '108', 'O', 'O', '186']
['02706', '72', '177', '270', '75', '95', 'O', 'O']
['02764', '270', '72', '45', 'O', 'O', '95', '347']
['02708', '271', '271', '271', '271', '271', 'O', 'O']
['02766', '374', 'O', 'O', '346', '410', '393', '490']
['02710', '188', '188', '188', '188', '188', 'O', 'O']
['02767', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02711', '93', '190', '49', 'O', '171', '193', '92']
['02768', '770', '793', '372', '679', 'O', 'Oz', '789']
['02712', '390', 'O', '396', '472', '495', 'O', 'O']
['02769', 'O', '788', '370', 'O', 'O', '370', '676']
['02713', '478', '390', '371', '48', 'Oz', 'Oz', 'Oz']
['02770', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
