['02735', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02778', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02737', '773', '486', 'O', 'O', '649', '672', '394']
['02780', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02738', '486', '342', '430', '433', '432', '740', 'O']
['02836', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02740', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['04811', '692', 'O', 'O', '649', '785', 'O', 'O']
['02741', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['04871', 'O', 'O', '677', '646', 'O', 'O', '785']
['02742', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['04933', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02743', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['04944', 'O', 'O', '70', '178', '50', '73', '347']
['02745', '492', '492', '492', '492', '492', 'O', '487']
['06234', '485', '177', 'O', '392', '407', '440', 'O']
['02746', 'O', 'O', '172', '69', '44', '40', '73']
['06509', 'O', '673', '675', '691', 'O', 'O', '676']
['02747', '49', '178', '74', '99', '107', 'O', 'O']
['06514', '369', '487', '472', 'O', '470', '340', 'O']
['02748', '707', '669', '692', 'O', '708', '644', '488']
['06636', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02749', '271', '271', '271', '271', '271', '271', 'O']
['09267', 'O', '671', '770', '708', '647', 'O', 'O']
['02750', 'O', '396', '410', 'O', '340', '378', 'O']
['09406', '348', '393', '470', 'O', '393', '488', 'O']
['02751', 'O', 'O', '370', '474', 'O', '370', '340']
['21001', 'O', '350', '431', '378', 'O', 'O', '372']
['02752', 'O', '643', '740', '778', '648', '689', 'O']
['21002', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02753', '708', 'O', '643', '669', 'O', 'O', '689']
['21006', '175', '110', 'O', 'O', '71', '45', '46']
['02754', '72', '48', 'O', 'O', 'O', '93', '170']
['21007', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02755', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['21010', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02756', '344', '379', '476', '341', '410', '345', 'O']
['21011', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02757', '475', '372', '346', '435', 'Oz', '470', '344']
['21012', '643', 'O', 'O', 'O', '710', '642', '671']
['02758', '42', '93', '50', 'O', '47', '75', 'O']
['21013', '488', '472', '394', '374', '345', '475', 'O']
['02761', 'O', '770', '709', '644', '740', '678', 'O']
['21014', '401', 'O', 'O', '437', '443', '347', '393']
['21015', '400', '572', 'O', '342', '370', '474', 'O']
['21051', '41', '109', '176', '72', '72', '98', 'O']
['21016', '143', '49', 'Oz', 'I-DK', 'I-DK', 'O', 'O']
['21052', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21018', '109', 'O', 'O', '74', '173', '74', '176']
['21053', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', 'Oz']
['21019', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21055', '435', '474', '432', '431', '431', 'O', 'O']
['21020', '69', '44', '78', 'O', '176', '69', '95']
['21056', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['21021', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['3720304', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21022', '73', '172', '69', '110', '69', '170', 'O']
['3760392', '372', '343', '443', 'O', '346', '376', '342']
['21023', '100', '97', '45', '270', 'Oz', 'Oz', 'Oz']
['3760393', 'I-DK', 'I-DK', '474', '372', '342', '472', '376']
['21024', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['56650', '393', '476', '343', '470', '372', '343', 'O']
['21025', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['63867', '192', '174', 'O', '78', '186', 'Oz', 'O']
['21026', '46', '72', 'O', '94', '178', '47', '77']
['70932', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21027', 'O', 'O', '43', '172', '131', '76', '96']
['21028', '47', '77', 'Oz', '75', '175', '97', 'O']
['21029', '347', '410', 'O', '472', '343', 'Oz', 'Oz']
['21030', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21031', '76', '76', '76', '76', '76', 'O', 'O']
['21032', '378', '345', '372', 'O', '401', '344', '396']
['21033', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21034', '408', '340', '341', '473', '371', 'O', '341']
['21035', '343', '475', '345', '410', '399', 'Oz', 'O']
['21036', '178', '100', '131', 'O', '177', '41', '189']
['21037', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21038', '374', '443', '340', '407', '476', 'O', 'O']
['21039', '676', 'O', 'O', 'O', '699', '790', 'O']
['21040', 'O', '431', '397', '397', 'O', '441', '486']
['21041', '341', 'O', '409', '348', '472', '377', '346']
['21042', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['21043', '473', '346', '374', '409', '347', 'O', '391']
['21044', '345', '473', 'O', 'O', '433', '346', 'O']
['21045', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21046', '647', 'O', 'O', '791', '778', '785', 'O']
['21047', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['21048', '669', '370', '485', 'O', '486', '669', 'O']
['21049', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21050', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
