['00641', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', '']
['21011', '393', '347', '347', '177', 'O', 'Oz', '']
['21047', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['21012', 'O', '682', '652', '669', '652', '790', '']
['21048', '691', '679', '646', '474', '345', '774', '']
['21013', '374', '350', '51', '475', '475', '376', '']
['21049', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['21014', '346', '381', '348', '489', '401', '475', '']
['21050', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['21015', 'O', '77', '98', '71', '175', 'O', '']
['21051', 'O', '173', '90', '176', '48', '71', '']
['21016', '185', '47', '172', '90', '83', 'O', '']
['21052', 'O', '340', '408', '398', '376', '476', '']
['21018', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['21053', '672', '697', 'O', '642', '383', '347', '']
['21019', '787', '649', '649', 'O', 'O', '740', '']
['21055', 'O', '372', '410', '395', '395', 'O', '']
['21020', '341', '98', '173', '40', '82', '89', '']
['21056', '397', '93', '46', '185', '172', 'O', '']
['21021', 'Oz', 'Oz', '40', '89', '46', 'O', '']
['3720304', '646', '741', '643', '697', '770', 'O', '']
['21022', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', '']
['3760392', 'Oz', 'Oz', '342', '342', '390', '490', '']
['21023', '95', '48', '110', 'O', 'Oz', 'O', '']
['3760393', '773', '370', 'O', 'O', '351', '697', '']
['21024', '344', '471', '382', 'O', '478', '343', '']
['56650', '98', '190', 'O', '72', '45', '432', '']
['21025', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', '']
['63867', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['21026', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['70932', 'O', '71', '43', '191', '92', '77', '']
['21027', '188', '76', '195', '79', '178', 'O', '']
['21028', '73', '41', '178', 'O', '104', '170', '']
['21029', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['21030', '174', 'Oz', '79', '186', '110', '70', '']
['21031', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['21032', 'O', 'Oz', 'O', '344', '491', '373', '']
['21033', '492', '470', '83', 'O', 'O', '391', '']
['21034', 'O', '51', '411', '389', '51', '78', '']
['21035', '342', '391', '374', '485', 'O', '370', '']
['21036', '175', '74', '89', '77', '195', 'O', '']
['21037', '370', '393', '340', 'O', '347', '375', '']
