['02575', '377', '470', '487', '444', '442', 'O', 'O']
['02674', '80', 'O', '51', '73', '47', 'O', 'O']
['02576', '492', '490', '490', 'Oz', 'Oz', 'Oz', '492']
['02676', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02579', '187', '193', '187', 'O', '189', '191', '186']
['02677', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02580', '341', '341', '341', 'Oz', '341', '378', '491']
['02682', '101', '101', '173', '170', 'O', 'O', '175']
['02584', '698', '698', '708', '806', '806', 'O', 'O']
['02683', '50', '50', '96', '89', '102', 'O', 'O']
['02585', 'O', '701', '709', '787', '870', 'O', 'O']
['02690', '372', '375', '477', '492', '351', '740', 'O']
['02586', '409', '371', '342', '493', 'O', 'Oz', 'Oz']
['02691', '652', 'O', '381', '674', '701', 'O', 'O']
['02587', '369', '369', '369', 'O', '369', '369', 'O']
['02696', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02588', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['02697', '378', '381', '390', 'O', '397', '776', 'O']
['02589', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02698', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02591', '641', '793', '794', '709', 'Oz', 'Oz', '691']
['02701', '141', '48', 'Oz', 'Oz', '78', '77', '138']
['02593', '742', 'O', '696', '698', '695', 'O', 'O']
['02703', '177', '265', '193', '71', '77', 'Oz', 'Oz']
['02601', '174', '177', '177', '174', '174', 'O', '178']
['02706', '92', '110', '78', '82', '51', '175', 'O']
['02708', '271', '271', '271', '271', '271', 'O', 'O']
['02766', '376', '340', '442', '446', '472', '398', 'O']
['02710', '75', '75', '75', '75', '75', 'O', 'O']
['02767', '142', '43', '49', '100', '265', 'Oz', '192']
['02711', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02768', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02712', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02770', '381', '471', '707', '652', 'O', '676', '774']
['02713', '505', '493', '495', '340', '411', '477', 'O']
['02771', '190', '143', '472', '110', 'Oz', 'Oz', '347']
['02714', 'O', '674', '649', '679', '775', '806', '786']
['02772', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02719', '275', '275', '275', '275', '275', 'O', 'O']
['02773', '100', '176', 'O', '187', '109', 'Oz', 'Oz']
['02721', '489', '506', '485', '343', 'O', '506', '506']
['02774', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02722', 'Oz', '170', '104', '265', '187', 'O', 'O']
['02775', 'Oz', '80', '81', '42', '172', '194', 'O']
['02731', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02776', '51', '190', '73', '83', '374', '471', 'O']
['02733', '350', '442', '394', '489', '408', 'O', 'O']
['02777', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02735', 'I-GO', 'I-GO', '805', '805', '805', '805', '805']
['02778', '175', '76', '71', '46', '175', '173', 'O']
['02737', 'O', '383', '644', '682', '776', '669', '674']
['02780', '340', '491', '493', '344', '345', 'O', '486']
['02738', 'O', '776', '375', '477', '703', 'Oz', 'Oz']
['02836', '79', '185', '188', 'O', '142', '45', '90']
['02740', '78', '188', '45', '141', '178', 'O', '471']
['04811', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02741', '397', '348', '372', '474', '370', 'O', 'O']
['04871', '669', '652', '652', '791', '682', 'O', '789']
['02742', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['04933', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02743', 'O', '775', 'Oz', '383', '692', '678', '771']
['04944', '77', 'Oz', '108', '188', '196', 'O', '44']
['02745', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
