['02591', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02703', 'O', 'O', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02593', 'O', '693', '698', '696', '696', '696', 'O']
['02706', 'Oz', 'Oz', '399', '389', '270', '141', 'O']
['02601', 'Oz', 'Oz', '174', '174', '174', '172', '271']
['02708', 'O', 'O', '271', '271', '271', 'O', 'O']
['02710', 'O', 'O', 'I-GO', 'I-GO', 'I-GO', 'Oz', 'Oz']
['02767', 'O', 'O', '111', '144', '170', '75', '43']
['02711', 'O', '341', '189', '177', '188', '70', 'O']
['02768', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02712', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02770', '676', '777', 'O', '669', '708', 'O', '376']
['02713', 'O', '486', '390', '472', '382', 'O', 'O']
['02771', '96', 'O', '48', '69', '41', '71', 'O']
['02714', '791', 'O', '682', '776', '707', 'O', 'O']
['02772', 'O', 'O', '195', '43', '82', '170', '73']
['02719', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02773', 'O', 'O', '175', '82', '190', '173', '192']
['02721', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02774', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02722', '42', 'Oz', 'I-DK', 'I-DK', '139', '43', 'O']
['02775', 'O', '340', '444', '343', '472', '371', '435']
['02731', '136', '136', '140', 'O', 'O', '139', '136']
['02776', 'Oz', '94', '72', '270', '51', '479', 'O']
['02733', 'Oz', '348', '485', 'Oz', '446', '394', 'O']
['02777', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02735', 'Oz', '689', '689', '689', '689', 'O', '689']
['02778', '471', '191', '187', '90', '75', '189', 'O']
['02737', 'O', 'O', '709', '652', '788', '792', 'O']
['02780', 'O', 'O', '341', '344', '373', '391', 'Oz']
['02738', '735', '695', '740', '383', '378', 'O', 'O']
['02836', 'Oz', '90', '186', 'O', '187', '97', 'O']
['02740', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['04811', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02741', '377', '645', '348', 'O', '474', '398', '340']
['04871', '672', 'O', '775', '644', 'O', '676', '674']
['02742', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['04933', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02743', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['04944', '174', '192', '82', 'O', '173', '191', 'O']
['02745', 'Oz', 'Oz', '373', '439', '439', '439', '478']
['06234', 'Oz', 'Oz', '396', '477', '394', '343', '390']
['02746', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['06509', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'Oz']
['02747', 'O', '175', '190', '41', '186', '77', 'O']
['06514', 'O', '372', '402', '487', '409', '474', 'O']
['02748', '645', 'O', '742', '775', '680', '649', 'Oz']
['07624', '43', 'O', '76', '176', '83', '41', 'O']
['02749', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['09267', '915', '913', 'O', '642', '870', '912', 'O']
['02750', 'O', '475', '393', '377', '393', 'O', '473']
['09406', 'O', '792', '794', '677', '785', '778', 'Oz']
['02751', 'O', 'O', '442', '474', '793', 'O', '475']
['21001', '792', 'O', 'O', '378', '709', 'O', '735']
['02752', 'Oz', '790', '791', '671', 'Oz', 'Oz', '643']
['21002', 'O', 'O', '275', '275', '275', 'O', 'O']
['02753', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
