['21026', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-GO', 'Og', 'Og']
['70932', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21027', '106', '73', '173', '91', '44', 'O', 'O']
['21028', '111', 'O', 'O', '40', '40', '97', '170']
['21029', '374', '382', '376', 'O', 'O', '373', '490']
['21030', '75', '70', '175', '185', '196', '193', 'O']
['21031', '100', '100', '100', '100', '100', 'O', 'O']
['21032', '72', 'O', '350', '393', '485', 'O', 'O']
['21033', '347', '374', '471', '398', 'O', 'O', 'O']
['21034', '396', '471', 'O', '371', '377', '376', '345']
['21035', '48', '344', '371', 'O', 'O', '378', '347']
['21036', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['21037', 'O', 'O', 'O', '346', '343', '490', '369']
['21038', '489', '475', 'Oz', 'Oz', '376', '345', '489']
['21039', '370', '776', '650', 'O', 'O', '791', '787']
['21040', '345', '649', '474', '376', '381', '395', 'O']
